name_1,name_2,is_duplicate
basf japan .,basf pakistan private .,1
embatiba industria e comercio ltda,industrias dante s.a . c.v .,0
basf paper chemicals huizhou .,basf .,1
sika kimia sdn . bhd .,sika india private .,1
kia .,tunbow electrical huizhou .,0
pau yuen corp . .,smart step shoes l.l.c,0
shashvat .,ya jie shanghai .,0
overseas logistics,guangzhou et logistics .,0
complementos industriales s.a.s .,sunrise industrial corporation,0
itc,bao'an district tang gang jie yong second factory,0
energy logistic pte . .,ict,0
pacific die cut,abc,0
famous target logistics .,shenzhen everfull trade logistics management .,0
michelin tyre plc,sociedade michelin participacoes indust e comercio l,1
bridgestone mexico s.a . c.v .,bridgestone huizhou)synthetic rubber .,1
michelin reifenwerke ag kgaa,mishlen,1
ilg,hybrid coatings,0
sika india private .,sika corporation,1
michelin americas research,michelin north america canada .,1
giti tire mfg . l.t.d .,giti tire mfg .,1
michelin aircraft tire,mti,0
sumitomo warehouse usa . .,sumitomo rubber,1
pt bridgestone tire indonesia,bridgestone brasil industria e comercio ltda,1
evonik corp .,evonik cryo,1
bharat electronics .,bharat bijlee .,1
breg .,birgma,0
bridgestone mexico s.a . c.v .,bridgestone india automotive,1
zeon italia srl,zeon europe gmbh,1
paul bauder gmbh kg stuttgart plant,paul bauder gmbh co.kg achim plant,1
hansa flex usa,k flex usa,1
bridgestone firestone venezolana c,bridgestone tianjin tire .,1
std s .,jos.h.lowenstein sons .,0
ez logistics,nissei plastic shanghai .,0
kraton polymers .,monster polymers .,0
primeup,supreme petrochem .,0
daniel carpenter mustang reproducti,anil .,0
sto corp,marcas nestle s.a . c.v .,0
prodicauchos ltda,productos urologos mexico cv,0
sika s a.,sika cambodia . warehouse,1
dongguan guanghua rubber .,bohra rubber pvt . .,0
celanese europe bv - ex softer,ooo khiminvest grupp,0
dow chemical pacific,dow chemical private .,1
thai arai .,actega artistica s.a.u,0
fujian yuanji sports goods .,sports world,0
ooo starkom,ooo starkom,1
mir .,toray america .,0
pirelli neumaticos argentina,pirelli neumaticos s.a . cv,1
joss elastomers chemicals b.v,master,0
bridgestone india automotive,bridgestone india,1
bridgestone group,bridgestone firestone brasil,1
dow silicones corp .,dow silicones corp . plant,1
fatih okce,fatih okce sanayi ve ticaret anonim sirketi,1
michelin americas research,michelin research development center shanghai .,1
saint - gobain isover austria gmbh,soprema canada,0
mti,stolt tank containers b.v . stolt nielsen usa .,0
ups san jose sociedad anonima,eco acuicola sociedad anonima cerrada,0
bridgestone tianjin tire .,bridgestone brasil industria comercio ltda,1
corporate affair,w.a .,0
showa denko america .,r.i.intl,0
soprema alpiarca,soprema canada,1
jx nippon oil gas exploration myanmar limited,jx nippon oil gas exploration technical services corporation,1
epic,crystal chemicals,0
m.b,ollard westcombe 2000 .,0
m2,zuma sports eirl,0
pirelli tyre russia,verel srl,0
hydro aluminium north america,r1 americas .,0
midas butyl products(india pvt . .,daksh india pvt . .,0
spc uk,boc . itasca,0
bridgestone firestone argentina saic,bridgestone stargard sp zoo,1
sumitomo warehouse usa . .,sumitomo rubber(hunan .,1
saint gobain india pvt . .,saint gobain canada .,1
basf corp .,basf turk kimya san . ve tic.sti,1
zeon shanghai .,d m sales marketing shanghai .,0
trp .,strata geosystems india private .,0
ram,miraclon corp .,0
synthomer .,synthomer c oterminal,1
brenntag mexico s.a . c.v .,brenntag ingredients .,1
samson rubber,suyog rubber india pvt . .,0
giti tire usa .,giti tire mfg . usa,1
icopal,bst elastomers,0
mclig,darshan kripa general,0
bridgestone canada .,bridgestone firestone brasil,1
exxonmobil quimica ltda,exxonmobil chemical americas 22777 springwoods village parkway,1
versalis pacific shanghai,versalis sp,1
kraton polymers nederland bv,kraton polymers .,1
t.a . corporation pvt . .,yk,0
vista business ventures llp,sam,0
bridgestone india pvt . .,bridgestone(shenyang tire .,1
paladin sports technology pty .,xiamen xin technology .,0
shanghai synthomer chemicals .,synthomer .,1
dattatrey chemicals,galata chemicals,0
banistmo bank,b,0
sika thailand,sika,1
progressive polymers,trimurti polymers,0
safic alcan group,safic alcan italia sp,1
beijing jia qi rui jia .,awadh rubeya .,0
lev termoplasticos ltda,sinopec huadong oilfield service corporation,0
cvf logistica e participacoes ltda,chain logistics,0
"ooo""privat treid","ooo""privat treid",1
daewoo paper mfg.cd . .,posco daewoo america corp .,1
wel logistics .,rim logistics . los,0
bridgestone canada .,bridgestone tire,1
philips india .,philippine australian brass bed,0
bridgestone stargard sp zoo,bridgestone brasil industria comercio ltda,1
dow brasil industria e comercio produtos quimicos lt,rahman .,0
usa .,pt indonesia synthetic textile,0
immortal service .,amazon corporate services pvt . .,0
pirelli pneus ltda,pirelli neumaticos cv boulev,1
bridgestone hosepower,bridgestone neumaticos monterreysa cv,1
nordisk dekk imp .,dsl,0
afton chemical mexicosa cv,afton chemical india private .,1
dongguan hoi lung hair beauty .,i.b .,0
yokohama americas,yokohama tire corp .,1
order bank punjab,avk / s.,0
soprema oberrossbach,soprema salgareda,1
soprema sourges,soprema soprema sas,1
sociedade michelin participacoes ind e comercio ltda,michelin siam .,1
synthomer uk .,synthomer c oterminal warehouse,1
basf india,basf quimica colombiana s.a .,1
contitech mexicana cv,contitech india private .,1
lopan,mahle thermal systems,0
universal trader,general tyre rubber pakistan .,0
grupo industrial cyf cv,zhuli zhiye shenzhen electronic industrial .,0
bridgestone stargard sp zoo,bridgestone firestone venezolana c,1
tekspan mexico cv,ruskin mexico cv,0
intl rubber,lakhani rubber works,0
soprema canada,soprema oberrossbach,1
bridgestone brasil industria comercio ltda,bridgestone brasil industria e comenrcio ltda,1
ooo khuskvarna,ooo khuskvarna,1
pirelli tyre .,pirelli tire,1
shanghai michelin warrior tyre .,shanghai michelin tire .,1
cambria sports,d s,0
shanghai michelin warrior tyre .,michelin na asrc,1
auriquimica ltda cnpj,auriquimica ltda filial,1
gestion soprema canada .,soprema soprema sas,1
aanu enterprises,madhura enterprises,0
superbeton s.p.a .,ooo polimarket,0
zhejiang jingxin special paper .,zhe jiang duihui .,0
total bitumen *,total polska sp . z o.o .,1
michelin siam .,michelin shenyang tyre .,1
shen zhen aok tooling .,shenzhen jinway mold .,0
bridgestone neumaticos,bridgestone group,1
premier logistics,master shipping logistica ltda epp,0
basf bangladesh .,basf corporation,1
enigma enterprise,capris s.a .,0
kinder pty .,giftfinder,0
cobalt holdings,mishlen,0
synthomer .,synthomer . peachtree lenox bl bonded logistics 7320 statesville,1
v v logistics,lof .,0
basf corporation,basf corp .,1
cobalt holdings,cobalt holdings,1
bridgestone india,bridgestone tire,1
michelin tyre plc,m.f.p . michelin,1
yokohama tire corp .,yokohama tyre,1
bridgestone tire,bridgestone firestone venezolana,1
ikki logistics s.a . c.v .,china silk logistics,0
beijing oriental yuhong waterproof technology . szse:002271 - bei jing dong fang yu hong fang shui ji zhu gu fen xian gong si,oriental yuhong,1
sika china .,sika kimia sdn . bhd .,1
yokohama tire corporation,yokohama tire corp .,1
bridgestone tire,bridgestone tianjin tire .,1
exxonmobil quimica ltda,exxonmobil chemical americas po box 4549 houston,1
basf,basf construction chemicals,1
ooo khimmarket,ooo khimmarket,1
southwest rubber supply .,exel rubber .,0
zhangjiagang goodtire rubber,nankang zhangjiagang free trade zone rubber industria c,0
basf pakistan .,basf peruana s.a .,1
bridgestone tire,bridgestone huizhou tire .,1
t.m . rubber pvt .,cougal rubber corp .,0
bridgestone firestone argentina saic,bridgestone firestone brasil,1
skoda auto india private .,prinver cv,0
k flex usa,hansa flex usa,1
encore precisions general,union,0
s y z colombia s s,glob .,0
michelin na asrc,shanghai michelin warrior tyre .,1
merit,snap style genral,0
gralco s.a .,kohler produtos para cozinhas e banheiros ltda,0
arab star,marav usa,0
m.b,sol petroleum bahamas .,0
bridgestone india automotive products private .,bridgestone stargard sp zoo,1
fac gb srl adhesives,technovinyl polymers india limited,0
rahul traders,ab decor,0
ta chen,fu jian cheng shoes industry .,0
bochem / sudal,clopay building products company .,0
vj rubber,jin yong qingyuan rubber industrial .,0
total france arnay le duc,total petrochemicals france,1
michelin north america .,sociedade michelin participacoes indust e comercio l,1
randall e comercio,manakin,0
alexander dennis mexico s.a . c.v .,mexico s.a . c.v .,0
bridgestone canada .,bridgestone china research development .,1
icopal kft .,katepal oy,0
bitoumina s.a .,vetroasfalto s.p.a .,0
eizo .,allmare comercio exterior ltda,0
sumitomo rubber usa,sumitomo rubber changshu .,1
trinseo,trinseo,1
americas .,globe tech general .,0
peretti bitumi,repsol,0
sumitomo chemical co.ltd .,sumimoto,1
inversiones life sp,vernol s,0
shenzhen hastech .,linx .,0
ultrapolymers,ticona polymers .,0
yokohama india pvt . .,yokohama tyre,1
iko eu /all plants *,lion elastomers,0
a. b. exp . pvt .,r.t . express .,0
cji group .,tpc group,0
monterrey industrial service supplies s.a . c.v .,sunrise industrial corporation,0
bridgestone ncr,thai bridgestone .,1
hexpol compounding,hexpol compounding,1
"ooo""impeks","ooo""impeks",1
tachi s guangzhou .,leach s,0
exxonmobil chemical americas 22777 springwoods village parkway,exxonmobil chemical asia pacific,1
fc daewoo textile,posco daewoo america corp . toronto b,1
manufacturas y procesos industriale,nachigo industrial .,0
foshan huaxu plastic mold .,new mag plast pvt .,0
soprema s.a .,soprema drummondville,1
juno logistics,qingdao ekun logistics .,0
owens corning,owens corning glass metal services,1
soprema iberia s.l .,soprema oberrossbach,1
sociedade michelin participacoes ind e comercio ltda,michelin tyre plc,1
giti tire usa .,giti tire hualin .,1
pti plastic rubber gaskets .,drf,0
sika . vietnam,sika s a.,1
csll logistics,jiangsu easero logistics .,0
k flex india private .,k flex usa,1
iviltra,technonikol,0
contitech fluid mexicana cv,contitech usa .,1
dongguan hang sheng industry .,sujan,0
bridgestone stargard sp zoo,bridgestone canada .,1
intl container terminal,tracer aps,0
lg chem america .,sabic americas,0
super beton,super beton .,1
danosa france,swisspor polska,0
indus rti,volga transmissions private .,0
dynasol,polyone corporation nyse pol,0
yokohama tyre,yokohama americas,1
vinshil polychem,viapol ltda,0
great eastern resins philippines .,sto corp,0
dow brasil sudeste industrial ltda,dow brasil industria e comercio produtos quimicos lt,1
aqualite private .,velfix,0
sika kimia sdn . bhd .,sika s a.,1
yokohama tyre,yokohama india pvt . .,1
phillips tuftex .,chevron phillips chemical lp,1
reva enterprises,diyom global enterprises,0
bridgestone india pvt . .,bridgestone huizhou tire .,1
bitumenka d.d .,multibase,0
synthomer c oterminal warehouse,synthomer .,1
bridgestone mexico s.a . c.v .,bridgestone canada .,1
beer.09 general,s.a.m .,0
itau corpbanca rosario norte 660 l,por,0
qatar islamic bank,adk,0
enzoy industrial .,erbus industrial eireli,0
fujian lifeng footwear industrial development .,dws,0
pirelli neumaticos s.a . c.v .,pirelli neumaticos s.a . cv,1
heartychem corp,gongguan heartychem .,1
mapei s.p.a .,zao mapei,1
fuzhou haotianyu imp . exp . trade .,jmd imp . exp .,0
kumho tire goergia .,kumho petrochemical .,1
soprema canada,soprema soprema sas,1
guangzhou binder king .,guangzhou lianduo .,0
zam zam abdallah boulo,dalkia .,0
kimberly - clark europe,ooo kimberli - klark,1
recron malaysia sdn.bhd .,recron malaysia sdn bhd,1
contitech transportbandsysteme gmb h,contitech mexicana cv,1
lepus logistics transportes internacionais ltda,plex logistics,0
gongguan heartychem .,heartychem corp,1
opetra industria e comercio travesseiros ltda,industrias cadile srl,0
chadha corporation private .,ntc logistics india private .,0
bridgestone tire,thai bridgestone .,1
shanghai copious industrial .,cpg,0
bridgestone neumaticos monterreysa cv,bridgestone ncr,1
malayan banking berhad,ram,0
ergon asphalt emulsions .,super beton .,0
balaji imp . exp .,sas imp . s.a.c,0
geberit india mfg . private .,valeo friction materials india private .,0
mexico s.a . c.v .,panasonic industrial devices mexicana s.a . c.v .,0
hyundai polytech india private .,s r,0
crane worldwide logistics ord,hb logistica s. r.l . c.v .,0
brenntag chile comercial e industrial ltda,brenntag vietnam .,1
sika,sika mexicana s.a . c.v .,1
suja shoei pvt . .,fmw cv,0
binne,binne sohn gmbh kg,1
bridgestone india,bridgestone costa rica sociedad anoni,1
jinshifa industry(huizhou .,nad s c v,0
mti,narmineh baft,0
blufixx gmbh,celanese europe bv - ex softer,0
kumho america technical center,olam .,0
suja shoei private .,trex .,0
champion sports products,net sports group,0
srb quimicos s.a . c.v .,s.r .,0
trb,panalpina uruguay transportes mundiales,0
oao nizhnekamskneftekhim,selena izolacja matizol,0
sika s a.,nasika products,0
bridgestone huizhou tire .,bridgestone india,1
bridgestone hosepower,bridgestone mexico s.a . c.v .,1
ryohin keikaku reliance india private .,reliance bally india private .,1
industrial el sol s.a.c .,nouri industrial establishment,0
n h,shanxi dinghong .,0
multibase india .,ibm,0
ittefaq,cosmos ..,0
dsi,ayyad al rashidi est,0
basf construction chemicals ua,basf construction chemicals,1
basf china . shanghai,basf chile s.a .,1
point,abc,0
mogat - werke adolf boving bitumen- und dachpappenfabrik gesellschaft mit beschrankter haftung,mogat - werke adolf boving bitumen- und dachpappen fabrik gmbh,1
modern poly .,gehr,0
api,a.p.i .,1
onur taahhut,pikasan,0
petro - canada resources usa,petro - canada cooperative holding ua,1
shanghai richhood .,shanghai star .,0
ravago mfg . india private .,ravago group,1
basf colors effects usa,basf chile s.a .,1
sika s a.,sika india private .,1
dip plc,paradise rubber,0
basf,basf quimica colombiana s.a .,1
cengiz insaat sanayi ve ticaret s,lagan bitumen limited,0
service .,scientific research instruments pvt . .,0
guangzhou imp . exp . . trade . ting true,galaxy imp . exp .,0
bridgestone tire,bridgestone ncr,1
k .,jiaozuo aeolus tire .,0
soprema iberia s.l .,soprema sas,1
esha,yalteks yalitim malzemeleri san . ve tic . a.s,0
jmd imp . exp .,shandong rongxin imp . exp . .,0
mjm marketing,barnet india marketing distribution llp,0
sumitomo rubber,sumitomo rubber usa,1
soprema alpiarca,soprema castellbisbal,1
basf india .,basf,1
h.r .,fisher mexico s. r.l . c.v .,0
basf pakistan private .,basf japan .,1
klinge corporation,fulong electrical appliance mfg . shenzhen .,0
giti tire hualin .,giti tire mfg .,1
kumho petrochemical,kumho,1
kenda rubber china .,kenda rubber .,1
arihant industrial corpn . .,riberball mercantil e industrial ltda,0
aloona kenya,pulidos industriales cv,0
crane process flow technologies india pvt . .,biocon biologics india .,0
soprema s.a .,soprema drummondville,1
mageba bridge products private .,nri .,0
qingyuan wei yuan plastic .,delvin plastics p .,0
soprema blonie,soprema nv,1
intl logistics .,qingdao blp huahe logistic .,0
otx logistics .,skyfer logistic .,0
precision tech enterprises,aldison enterprise,0
reliance bally india private .,reliance retail .,1
soprema blonie,soprema s.a.s .,1
giti tire mfg . l.t.d .,giti tire mfg . usa,1
dow chemical thailand .,dow chemical pacific .,1
dogetech industrial .,chhatariya firetech,0
sumitomo rubber usa 10 sheridan,sumitomo rubber,1
yokohama tire corp .,yokohama tire canada,1
brenntag peru s.a.c .,brenntag chile comercial e industrial ltda,1
century chemical corp,aipuke exact chemicals suzhou .,0
bio tech india,linia,0
carroll,sea cargo logistics peru sac,0
ter hell gmbh,ter group gmbh,1
bridgestone hosepower,bridgestone firestone mexico cv,1
pirelli neumaticos s.a . c.v .,pirelli tyre .,1
bridgestone americas tire,bridgestone(shenyang tire .,1
cardinal s.r.l .,onur taahhut tasimacilik ve ticaret sti,0
ventanas prefabricadas aluminio cv,ict,0
bridgestone brasil industria e comercio ltda,bridgestone group,1
navyug chemicals pvt . .,kolora ink chemical corp .,0
bridgestone india pvt . .,bridgestone firestone brasil,1
guangzhou sanxing precision mould plastic engineering .,benison .,0
dongguan oasis plastic products .,dongguan benchuang plastic hardware .,0
pirelli neumaticos s.a.i.c .,pirelli neumaticos s.a . cv,1
bdp . china,e s c.c .,0
ppg .,pak petrochemical pvt,0
mss india pvt . .,dmg mori india private .,0
ehsb enterprises . dba,rene,0
bridgestone huizhou)synthetic rubber .,bridgestone mexico s.a . c.v .,1
bridgestone stargard sp zoo,bridgestone mexico s.a . c.v .,1
ooo polimarket,* * * polimarket ooo,1
arlanxeo singapore pte . . tearlanxeo canada . 1265 vidal,arlanxeo corp .,1
soprema grobbendonk,soprema s.a.s .,1
samskip logistics .,b,0
shaheed ibrahim,dsi,0
productos roche panama s,val products .,0
michelin siam .,m.f.p . michelin,1
soprema nv,rusplast ooo lobanovo,0
sika,sika india private .,1
indage .,k h exp . india private .,0
sho,jinan sinovel textile technology,0
iko,iko sales,1
brenntag vietnam .,brenntag ecuador s.a .,1
gti pvt . .,da feng .,0
polylex .,omshakthi polymers,0
sika pakistan pvt .,sika thailand,1
bridgestone huizhou tire .,bridgestone neumaticos monterreysa cv,1
srf thailand .,tanques y tapas industriales limitada indutanpas ltda,0
bridgestone brasil industria e comenrcio ltda,bridgestone brasil industria e comercio ltda,1
sika,sika s.a . chile,1
bridgestone neumaticos monterreysa cv,bridgestone neumaticos,1
seabiz,hutchinson sealing system .,0
arrow head electrical products .,eia .,0
total petrochemicals france,total romania s.a .,1
sika china .,sika,1
ooo mediainvest,"ooo""mediainvest",1
soprema s.a .,soprema blonie,1
bridgestone hosepower,bridgestone americas tire,1
kia .,materias primas y productos termina,0
sur quimica,mirae corporation,0
ace ag,kip chemicals,0
basf corporation,basf construction chemicals,1
midland asphalt materials,midland asphalt,1
kraton polymers shanghai .,kraton polymers japan .,1
sabic innovative plastics mexico s.,uci .,0
shree ram plastics,antai hardware plastic tooling shenzhen .,0
sabic innovative plastics,sabic innovative plastics mexico s.,1
denrox bless,s.a.m,0
yokohama americas,yokohama tire corporation,1
paul bauder gmbh kg bochum plant,saba,0
adcrete pty .,cliftex .,0
edumex cv,parafoods mexico s.a . c.v .,0
binex line corp .,binex line corp . vancouver,1
ldf,grasim . vilayat,0
vikas ecotech .,b.c,0
soprema s.a .,soprema iberia s.l .,1
mahafiz,nad s c v,0
atul .,elastomer india mfg . co.(prop.atul j shah,0
dws,dsa,0
arlanxeo singapore pte . . tearlanxeo canada . 1265 vidal,arlanxeo singapore pte . lt,1
cobalt holdings,valli zabban s.p.a .,0
sociedade michelin participacoes indust e comercio l,michelin na asrc,1
dip plc,triveni synthetics yarn ind p .,0
kraton polymers,kraton polymers nederland bv,1
bridgestone americas tire,bridgestone india pvt . .,1
suminoe textile shanghai .,alkan textile,0
soprema s.r.l .,soprema soprema sas,1
"zeon logistical materials ,ltd .",zeon kasei .,1
sumitomo rubber(hunan .,sumitomo rubber usa,1
fc daewoo textile,posco daewoo america corp .,1
shanghai tek technology consulting .,tecon technologies llp,0
posco daewoo america corp .,daewoo paper mfg.cd . .,1
keppel amfels .,m2,0
union logistics .,caesar logistics,0
hay road road source material .,ocean marine s.a . c.v .,0
hangzhou dowell rubber .,osaka rubber pvt . .,0
egyptian plastic,zandur,0
n j .,shakun polymers,0
shenhua chemical industrial .,true industrial .,0
contix s,hindle controls,0
clopay,uteksol,0
hindustan rubber,r.i.intl,0
malik bord paper pvt .,gti pvt . .,0
toa road,toa road corporation tse:1882,1
suzhou ao fei da .,orien corp .,0
eurovia cs,eurovia polska s,1
versatile bonds pvt . .,universal products pr .,0
eia .,plastics technology . shenzhen city,0
jx nippon oil gas exploration corporation,jx nippon oil gas exploration technical services corporation,1
yipeng logistica ltda,spa gloviz,0
basf turk kimya san ve tic.tld.sti,basf turk kimya san.ve tic ltd.sti,1
trinseo,trinseo europe gmb h trade register 20162359 tax d be0806160466,1
soprema s.a .,soprema oberrossbach,1
zandur,amazonas e comercio ltda,0
exxonmobil servicios petroleros mexico cv,exxonmobil chemical,1
coats mexico s.a c.v,nilfisk advance mexico mfg . s. r.l . c.v .,0
nayyer pvt .,grace industrial .,0
nri .,mageba shanghai bridge products .,0
hb resin .,la varesina s.a.c .,0
pirelli venezuela c.a .,pirelli tire,1
gap,kabat tyre spolka z ograniczona odpowiedzialnoscia,0
onduline polska sp . z o.o .,onduline s.a .,1
soprema s.a .,soprema iberia s.l .,1
rbc mexico s rl cv,fabrica tejidos pisco s.a.c,0
tuscor lloyds uk mexico cv,p.e . mexico s. r.l . de.c.v .,0
sumitomo rubber usa,sumitomo rubber,1
delta acm,delta roofing .,1
bridgestone canada .,bridgestone neumaticos monterreysa cv,1
adi salambo,adi commerce,1
bridgestone ncr,bridgestone group,1
dongguan hengli foreign econonic imp . exp . .,ilg,0
service .,gates brasil industria e comercio ltda,0
mittal,kelvin terminals b.v .,0
bridgestone americas tire,bridgestone tire,1
cobalt holdings,soprema s.a .,0
panda logistics usa .,desco usa corp .,0
h v advanced materials india pvt . .,h v advanced materials(india pvt . .,1
synthomer c oterminal warehouse,synthomer,1
basf corp .,basf japan .,1
eurovia czechy,valli zabban s.p.a .,0
galassi ortolani india private .,bva .,0
bridgestone huizhou tire .,bridgestone(shenyang tire .,1
mactac europe sprl,agiag europe nl dc,0
mti,qingdao ekun logistics .,0
hexpol compounding,hexpol compounding uk .,1
polygel pvt . .,shanghai light products,0
bridgestone india automotive,bridgestone mexico s.a . c.v .,1
